Persona,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10,Skill 11,Skill 12,Skill 13,Skill 14,Skill 15,Skill 16,Skill 17,Skill 18,Skill 19,Skill 20
Persona 1,2,8,8,10,3,5,5,7,10,7,6,5,8,6,5,10,2,8,10,8
Persona 2,6,8,1,4,5,6,9,6,1,6,6,10,9,5,6,5,8,3,2,10
Persona 3,2,5,6,0,8,0,3,10,7,8,5,8,10,10,7,5,10,9,6,1
Persona 4,3,10,2,2,0,10,7,10,3,8,1,9,1,1,9,8,3,9,10,9
Persona 5,9,10,7,3,8,1,0,1,2,5,4,6,4,6,5,5,9,2,2,3
Persona 6,1,1,1,7,6,6,4,3,5,6,0,2,8,0,1,10,9,9,1,2
Persona 7,8,9,6,1,4,8,2,5,8,6,3,2,8,6,4,3,9,7,5,8
Persona 8,3,2,0,6,9,6,7,8,5,9,9,6,3,10,9,1,3,0,9,6
Persona 9,6,1,5,3,6,9,10,4,3,4,0,8,1,6,8,9,3,7,6,6
Persona 10,7,2,1,1,5,9,1,8,3,8,9,6,1,6,10,0,2,4,2,8
Persona 11,9,4,7,3,1,6,0,1,5,3,7,3,9,1,5,1,8,3,2,2
Persona 12,2,7,8,6,3,1,6,1,10,10,10,8,7,3,4,5,3,6,0,6
Persona 13,5,5,1,1,10,4,0,1,5,5,2,7,0,4,6,7,6,10,9,2
Persona 14,3,10,7,10,10,2,1,9,2,7,6,1,10,4,4,4,6,6,3,1
Persona 15,8,6,10,8,5,3,2,9,5,2,6,7,8,3,1,4,3,10,4,4
Persona 16,9,10,8,3,1,5,1,3,3,1,1,1,2,3,4,2,4,4,1,8
Persona 17,9,7,3,3,8,5,3,8,3,8,5,3,4,7,6,1,2,4,5,9
Persona 18,2,2,2,5,2,10,2,1,3,2,1,5,10,4,3,9,8,9,6,2
Persona 19,3,1,3,8,3,2,10,6,3,0,10,7,2,5,10,10,1,1,10,4
Persona 20,9,3,5,1,2,6,10,4,1,1,4,1,2,4,3,4,2,6,9,1
Persona 21,5,2,10,9,1,2,7,3,1,1,4,3,4,10,5,6,4,4,8,1
Persona 22,4,0,9,7,1,6,8,4,4,4,8,7,9,6,1,5,5,6,3,4
Persona 23,6,9,2,9,0,6,10,5,5,2,2,3,9,4,5,3,4,7,5,10
Persona 24,7,7,6,3,3,9,3,9,3,3,2,1,5,2,6,5,4,10,1,2
Persona 25,7,2,6,9,2,7,1,10,5,9,1,4,5,5,2,5,8,5,7,1
Persona 26,0,10,6,5,2,7,4,1,9,9,6,2,4,0,10,10,1,0,2,4
Persona 27,3,4,0,5,5,8,7,4,6,5,9,1,8,8,1,10,3,3,5,9
Persona 28,4,3,5,4,8,8,0,7,2,4,5,9,9,8,3,7,8,9,5,7
Persona 29,8,8,9,7,5,8,0,3,3,4,2,2,0,3,4,8,5,9,6,2
Persona 30,1,1,3,7,8,5,2,3,4,5,3,8,0,5,8,8,5,3,0,4
Persona 31,9,3,9,7,7,10,9,6,2,5,9,7,3,6,0,5,6,5,6,2
Persona 32,6,6,8,8,0,10,8,1,2,1,7,9,6,10,10,10,0,3,6,9
Persona 33,5,6,6,4,4,6,4,5,3,10,10,1,0,1,10,5,9,5,7,8
Persona 34,9,3,5,8,2,5,2,7,1,9,5,3,8,4,1,6,6,1,3,5
Persona 35,4,6,9,9,7,8,5,7,5,7,9,10,5,5,3,8,5,9,0,4
Persona 36,3,1,6,7,2,10,3,6,2,4,1,1,8,4,4,4,10,8,3,8
Persona 37,7,8,1,3,8,9,4,3,7,1,5,8,4,2,9,8,6,0,9,5
Persona 38,2,4,8,8,4,1,9,1,8,10,8,8,5,4,10,4,8,7,7,4
Persona 39,6,2,1,8,0,7,6,7,4,6,5,3,3,9,6,5,2,9,8,1
Persona 40,5,7,4,5,8,5,9,2,5,7,6,3,4,4,7,3,4,4,8,8
