Failure,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10,Skill 11,Skill 12,Skill 13,Skill 14,Skill 15,Skill 16,Skill 17,Skill 18,Skill 19,Skill 20
Failure 1,0,0,0,4,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0
Failure 2,3,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Failure 3,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,2,0,0,1,0
Failure 4,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5
Failure 5,1,0,0,0,0,4,0,0,0,0,3,0,0,2,0,0,0,0,0,0
Failure 6,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,2,0,0,0
Failure 7,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,4,0,0
Failure 8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Failure 9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,3,0
Failure 10,7,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
Failure 11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,7,0,0,0,0
Failure 12,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2
Failure 13,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Failure 14,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0
Failure 15,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Failure 16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,5,0,0,0
Failure 17,0,0,0,0,0,0,0,2,0,3,0,0,0,2,0,0,0,0,3,0
Failure 18,0,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,0,0,3
Failure 19,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0
Failure 20,0,0,0,1,0,0,2,0,0,3,0,0,0,0,4,0,0,0,0,0
Failure 21,0,2,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Failure 22,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,2,0,0
Failure 23,0,4,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
Failure 24,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
Failure 25,0,0,0,0,0,0,0,2,0,6,0,0,0,0,2,0,0,0,0,0
Failure 26,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0
Failure 27,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,3,0,0
Failure 28,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Failure 29,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Failure 30,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
